beta	xi = 0.1	xi = 0.2	xi = 0.3	xi = 0.4	xi = 0.5	xi = 0.6	xi = 0.7	xi = 0.8	xi = 0.9	xi = 1.0
0.746074	-0.265217	0.137196	0.271334	0.338403	0.378644	0.405472	0.424634	0.439006	0.450184	0.459127
0.749415	-0.263888	0.138109	0.272108	0.339107	0.379307	0.406107	0.425249	0.439606	0.450773	0.459706
0.752756	-0.262563	0.139019	0.272880	0.339810	0.379968	0.406740	0.425863	0.440205	0.451360	0.460285
0.756097	-0.261242	0.139927	0.273650	0.340511	0.380628	0.407372	0.426476	0.440803	0.451947	0.460862
0.759438	-0.259926	0.140832	0.274417	0.341210	0.381286	0.408003	0.427087	0.441399	0.452532	0.461437
0.762779	-0.258614	0.141734	0.275183	0.341907	0.381942	0.408632	0.427696	0.441994	0.453115	0.462012
0.766120	-0.257306	0.142633	0.275946	0.342603	0.382597	0.409260	0.428304	0.442588	0.453697	0.462585
0.769462	-0.256003	0.143530	0.276708	0.343297	0.383250	0.409886	0.428911	0.443180	0.454278	0.463157
0.772803	-0.254705	0.144424	0.277467	0.343989	0.383902	0.410510	0.429517	0.443771	0.454858	0.463728
0.776144	-0.253410	0.145316	0.278225	0.344679	0.384552	0.411134	0.430121	0.444361	0.455436	0.464297
0.779485	-0.252120	0.146205	0.278980	0.345368	0.385200	0.411755	0.430723	0.444949	0.456014	0.464865
0.782826	-0.250834	0.147092	0.279734	0.346055	0.385847	0.412376	0.431324	0.445536	0.456590	0.465432
0.786167	-0.249552	0.147976	0.280485	0.346740	0.386493	0.412995	0.431924	0.446122	0.457164	0.465998
0.789508	-0.248274	0.148858	0.281235	0.347423	0.387137	0.413612	0.432523	0.446706	0.457738	0.466563
0.792849	-0.247000	0.149737	0.281982	0.348105	0.387779	0.414228	0.433120	0.447289	0.458310	0.467126
0.796191	-0.245731	0.150613	0.282728	0.348785	0.388420	0.414843	0.433716	0.447871	0.458881	0.467689
0.799532	-0.244465	0.151487	0.283472	0.349464	0.389059	0.415456	0.434311	0.448452	0.459451	0.468250
0.802873	-0.243204	0.152359	0.284213	0.350141	0.389697	0.416068	0.434904	0.449031	0.460019	0.468810
0.806214	-0.241946	0.153228	0.284953	0.350816	0.390333	0.416678	0.435496	0.449610	0.460587	0.469368
0.809555	-0.240693	0.154095	0.285691	0.351489	0.390968	0.417287	0.436087	0.450186	0.461153	0.469926
