theta	R
2.4785429478070227	2.02719347171147
2.4943298455637555	2.1613833706559067
2.510116743320488	2.317971692414874
2.5259036410772207	2.499159236862252
2.5416905388339535	2.7100149332229075
2.557477436590686	2.9605055544838135
2.5732643343474186	3.261658016374036
2.589051232104151	3.6294240059963507
2.604838129860884	4.095393534937043
2.6206250276176166	4.6966496845019226
2.636411925374349	5.50759169882549
2.652198823131082	6.657666548060929
2.667985720887814	8.41387599813465
2.683772618644547	11.43292137603573
2.69955951640128	17.832951989297335
2.715346414158012	nan
2.731133311914745	nan
2.7469202096714773	nan
2.76270710742821	nan
2.7784940051849425	nan
2.7942809029416753	nan
2.810067800698408	nan
2.8258546984551405	nan
2.8416415962118733	nan
2.8574284939686057	nan
2.8732153917253385	nan
2.8890022894820713	nan
2.9047891872388036	nan
