theta	R
2.510116743320488	6.007988102352211
2.5259036410772207	6.240965673052711
2.5416905388339535	6.488187753074442
2.557477436590686	6.749962992172313
2.5732643343474186	7.028040834816123
2.589051232104151	7.323828648839863
2.604838129860884	7.639171011320469
2.6206250276176166	7.974190809576023
2.636411925374349	8.332396546222359
2.652198823131082	8.714859046291348
2.667985720887814	9.124936390116105
2.683772618644547	9.564019037357697
2.69955951640128	10.03503240335962
2.715346414158012	10.54193367120132
2.731133311914745	11.0886689628336
2.7469202096714773	11.679326069078513
2.76270710742821	12.318421134697935
2.7784940051849425	13.012831381243032
2.7942809029416753	13.768688100950557
2.810067800698408	14.594858048862031
2.8258546984551405	15.498946886755673
2.8416415962118733	16.49436528491592
2.8574284939686057	17.59454739612272
2.8732153917253385	18.816915817543173
