beta	i	thpar	thperp	rpar	rperp	
1.000e-02	4.938e-01	9.325e-01	1.799e+00	1.116e+00	2.179e+00	
1.000e-02	4.993e-01	9.435e-01	1.804e+00	1.119e+00	2.185e+00	
1.000e-02	5.049e-01	9.544e-01	1.809e+00	1.122e+00	2.192e+00	
1.000e-02	5.104e-01	9.654e-01	1.814e+00	1.125e+00	2.199e+00	
1.000e-02	5.159e-01	9.764e-01	1.820e+00	1.128e+00	2.206e+00	
1.000e-02	5.215e-01	9.874e-01	1.825e+00	1.131e+00	2.214e+00	
1.000e-02	5.270e-01	9.984e-01	1.830e+00	1.134e+00	2.221e+00	
1.000e-02	5.326e-01	1.009e+00	1.835e+00	1.137e+00	2.228e+00	
1.000e-02	5.381e-01	1.021e+00	1.841e+00	1.141e+00	2.236e+00	
1.000e-02	5.437e-01	1.032e+00	1.846e+00	1.144e+00	2.244e+00	
1.000e-02	5.492e-01	1.043e+00	1.852e+00	1.147e+00	2.252e+00	
1.000e-02	5.548e-01	1.054e+00	1.857e+00	1.151e+00	2.260e+00	
1.000e-02	5.603e-01	1.065e+00	1.863e+00	1.154e+00	2.268e+00	
1.000e-02	5.659e-01	1.076e+00	1.868e+00	1.158e+00	2.277e+00	
1.000e-02	5.714e-01	1.087e+00	1.874e+00	1.161e+00	2.285e+00	
1.000e-02	5.770e-01	1.099e+00	1.879e+00	1.165e+00	2.294e+00	
1.000e-02	5.825e-01	1.110e+00	1.885e+00	1.169e+00	2.303e+00	
1.000e-02	5.881e-01	1.121e+00	1.891e+00	1.173e+00	2.312e+00	
1.000e-02	5.936e-01	1.132e+00	1.897e+00	1.177e+00	2.321e+00	
1.000e-02	5.992e-01	1.144e+00	1.903e+00	1.181e+00	2.330e+00	
1.000e-02	6.047e-01	1.155e+00	1.909e+00	1.185e+00	2.340e+00	
1.000e-02	6.103e-01	1.166e+00	1.915e+00	1.189e+00	2.350e+00	
1.000e-02	6.158e-01	1.178e+00	1.921e+00	1.193e+00	2.360e+00	
1.000e-02	6.214e-01	1.189e+00	1.927e+00	1.197e+00	2.370e+00	
1.000e-02	6.269e-01	1.201e+00	1.933e+00	1.201e+00	2.380e+00	
1.000e-02	6.325e-01	1.212e+00	1.939e+00	1.206e+00	2.391e+00	
1.000e-02	6.380e-01	1.224e+00	1.945e+00	1.210e+00	2.401e+00	
1.000e-02	6.435e-01	1.235e+00	1.951e+00	1.214e+00	2.412e+00	
1.000e-02	6.491e-01	1.247e+00	1.958e+00	1.219e+00	2.424e+00	
1.000e-02	6.546e-01	1.258e+00	1.964e+00	1.224e+00	2.435e+00	
1.000e-02	6.602e-01	1.270e+00	1.971e+00	1.228e+00	2.447e+00	
1.000e-02	6.657e-01	1.281e+00	1.977e+00	1.233e+00	2.459e+00	
1.000e-02	6.713e-01	1.293e+00	1.983e+00	1.238e+00	2.471e+00	
1.000e-02	6.768e-01	1.305e+00	1.990e+00	1.243e+00	2.483e+00	
1.000e-02	6.824e-01	1.317e+00	1.997e+00	1.248e+00	2.496e+00	
1.000e-02	6.879e-01	1.328e+00	2.003e+00	1.253e+00	2.509e+00	
1.000e-02	6.935e-01	1.340e+00	2.010e+00	1.258e+00	2.522e+00	
1.000e-02	6.990e-01	1.352e+00	2.017e+00	1.264e+00	2.536e+00	
1.000e-02	7.046e-01	1.364e+00	2.024e+00	1.269e+00	2.549e+00	
1.000e-02	7.101e-01	1.376e+00	2.030e+00	1.275e+00	2.563e+00	
1.000e-02	7.157e-01	1.388e+00	2.037e+00	1.280e+00	2.578e+00	
1.000e-02	7.212e-01	1.400e+00	2.044e+00	1.286e+00	2.593e+00	
1.000e-02	7.268e-01	1.412e+00	2.051e+00	1.292e+00	2.608e+00	
1.000e-02	7.323e-01	1.424e+00	2.058e+00	1.298e+00	2.623e+00	
1.000e-02	7.379e-01	1.436e+00	2.065e+00	1.304e+00	2.639e+00	
1.000e-02	7.434e-01	1.448e+00	2.072e+00	1.310e+00	2.655e+00	
1.000e-02	7.490e-01	1.460e+00	2.080e+00	1.316e+00	2.672e+00	
1.000e-02	7.545e-01	1.472e+00	2.087e+00	1.322e+00	2.688e+00	
1.000e-02	7.600e-01	1.485e+00	2.094e+00	1.329e+00	2.706e+00	
1.000e-02	7.656e-01	1.497e+00	2.101e+00	1.335e+00	2.724e+00	
1.000e-02	7.711e-01	1.509e+00	2.109e+00	1.342e+00	2.742e+00	
1.000e-02	7.767e-01	1.522e+00	2.116e+00	1.349e+00	2.760e+00	
1.000e-02	7.822e-01	1.534e+00	2.124e+00	1.356e+00	2.780e+00	
1.000e-02	7.878e-01	1.547e+00	2.131e+00	1.363e+00	2.799e+00	
1.000e-02	7.933e-01	1.559e+00	2.139e+00	1.370e+00	2.819e+00	
1.000e-02	7.989e-01	1.572e+00	2.147e+00	1.378e+00	2.840e+00	
1.000e-02	8.044e-01	1.585e+00	2.154e+00	1.385e+00	2.861e+00	
1.000e-02	8.100e-01	1.597e+00	2.162e+00	1.393e+00	2.883e+00	
1.000e-02	8.155e-01	1.610e+00	2.170e+00	1.401e+00	2.905e+00	
1.000e-02	8.211e-01	1.623e+00	2.178e+00	1.409e+00	2.928e+00	
1.000e-02	8.266e-01	1.636e+00	2.186e+00	1.417e+00	2.952e+00	
1.000e-02	8.322e-01	1.649e+00	2.193e+00	1.425e+00	2.977e+00	
1.000e-02	8.377e-01	1.662e+00	2.201e+00	1.434e+00	3.002e+00	
1.000e-02	8.433e-01	1.675e+00	2.210e+00	1.442e+00	3.028e+00	
1.000e-02	8.488e-01	1.688e+00	2.218e+00	1.451e+00	3.054e+00	
1.000e-02	8.544e-01	1.702e+00	2.226e+00	1.460e+00	3.082e+00	
1.000e-02	8.599e-01	1.715e+00	2.234e+00	1.470e+00	3.110e+00	
1.000e-02	8.655e-01	1.728e+00	2.242e+00	1.479e+00	3.140e+00	
1.000e-02	8.710e-01	1.742e+00	2.251e+00	1.489e+00	3.170e+00	
1.000e-02	8.766e-01	1.756e+00	2.259e+00	1.499e+00	3.201e+00	
1.000e-02	8.821e-01	1.769e+00	2.267e+00	1.509e+00	3.234e+00	
1.000e-02	8.876e-01	1.783e+00	2.276e+00	1.519e+00	3.267e+00	
1.000e-02	8.932e-01	1.797e+00	2.284e+00	1.530e+00	3.302e+00	
1.000e-02	8.987e-01	1.811e+00	2.293e+00	1.541e+00	3.338e+00	
1.000e-02	9.043e-01	1.825e+00	2.302e+00	1.552e+00	3.375e+00	
1.000e-02	9.098e-01	1.839e+00	2.310e+00	1.564e+00	3.414e+00	
1.000e-02	9.154e-01	1.853e+00	2.319e+00	1.575e+00	3.454e+00	
1.000e-02	9.209e-01	1.867e+00	2.328e+00	1.587e+00	3.496e+00	
1.000e-02	9.265e-01	1.882e+00	2.337e+00	1.600e+00	3.540e+00	
1.000e-02	9.320e-01	1.896e+00	2.346e+00	1.612e+00	3.586e+00	
1.000e-02	9.376e-01	1.911e+00	2.355e+00	1.626e+00	3.634e+00	
1.000e-02	9.431e-01	1.926e+00	2.364e+00	1.639e+00	3.683e+00	
1.000e-02	9.487e-01	1.941e+00	2.373e+00	1.653e+00	3.736e+00	
1.000e-02	9.542e-01	1.956e+00	2.382e+00	1.667e+00	3.790e+00	
1.000e-02	9.598e-01	1.971e+00	2.391e+00	1.682e+00	3.848e+00	
1.000e-02	9.653e-01	1.987e+00	2.400e+00	1.697e+00	3.908e+00	
1.000e-02	9.709e-01	2.002e+00	2.410e+00	1.712e+00	3.972e+00	
1.000e-02	9.764e-01	2.018e+00	2.419e+00	1.729e+00	4.039e+00	
1.000e-02	9.820e-01	2.034e+00	2.429e+00	1.745e+00	4.110e+00	
1.000e-02	9.875e-01	2.050e+00	2.438e+00	1.763e+00	4.185e+00	
1.000e-02	9.931e-01	2.066e+00	2.448e+00	1.780e+00	4.265e+00	
1.000e-02	9.986e-01	2.083e+00	2.457e+00	1.799e+00	4.350e+00	
1.000e-02	1.004e+00	2.099e+00	2.467e+00	1.818e+00	4.441e+00	
1.000e-02	1.010e+00	2.116e+00	2.477e+00	1.838e+00	4.539e+00	
1.000e-02	1.015e+00	2.134e+00	2.487e+00	1.859e+00	4.643e+00	
1.000e-02	1.021e+00	2.151e+00	2.497e+00	1.881e+00	4.756e+00	
1.000e-02	1.026e+00	2.169e+00	2.507e+00	1.903e+00	4.878e+00	
