Seq	Name	RAh	RAm	RAs	DE-	DEd	DEm	DEs	Ref	Alias	8um	Unc	R0	PA	Hmag	4.5mag	Ak	Env	R0_fit	R0_sigma	pa_circ	delta_pa	Rc	Rc_sigma	R90p	R90p_sigma	R90n	R90n_sigma	th_p	th_m	th_p_841	th_m_841	th_p_210	th_m_210	th_g	dth_g	H_g	H_d	H_d_out	H_d_in	R0_g	Peak24	Contrast	Rating	Comment
23	G010.2414-00.5411	18	10	14.55	-	20	20	10.3	T		N		5.6	245	11.64	10.23	1.28	FH	6.153640823790046	0.45671482807345204	218.94328404737385	-26.05671595262615	8.899129709809886	0.9855263737772145	13.513865569015277	1.7679044283556287	10.10678640406671	1.549169317749337	81.44029944438722	-105.03417316286573	13.441467479554888	-70.95273900504921	100.91280415145383	-122.35612519737018	0.0	141.0	7.848481790211647	18.01113185334244	1.2156487216112168	16.795483131731224	5.333386768790317	13.86928806977004	0.302403207992095	3	improved
24	G010.3576+00.1878	18	7	48.21	-	19	53	10.4	T		N		6.1	165	11.07	9.76	1.19	I	7.056277099658499	0.4444901468699367	153.75420530656987	-11.245794693430128	3.727941326878506	0.8260204040987547	9.159150444108183	1.2906135935488279	12.148817148729087	2.0218265499488672	114.93532037784439	-102.87667612215934	82.4484234690371	-78.88451328757371	137.16265407270652	-126.51554284598575	5.836706514289063	1673.8321410664055	10.659344867914204	16.805179422742224	0.4494964059723898	16.355683016769834	6.940988585672292	8.095115786366742	0.11423082316906932	2	improved
25	G010.5863-00.4140	18	10	30.9	-	19	58	39.4	T		Y		7.8	35	12.94	10.29	2.42	FB	8.69568169223008	1.2416044376279238	61.79472561252792	26.79472561252792	12.825231989008701	0.6565942192107417	14.628366154247345	1.2627487875898433	17.501555716573844	2.0517729123600668	85.472445788808	-74.0156186177012	47.270155414208574	-47.19109405690102	126.87146892397669	-99.96986923244316	5.204758350359455	172.04443094611676	15.95362026014485	14.91304340318596	-1.24917611771318	16.16221952089914	8.675000673680104	860.6579746943409	2.0553880332663184	3	improved
26	G011.0709-00.5437	18	11	59.42	-	19	36	55.4	T		N		8.2	30	8.98	8.76	0.19	I	8.473881583811835	0.6286931047615063	33.866267359220856	3.8662673592208563	14.431615503627437	0.8369119672202008	12.16738508885725	1.266265531851959	14.583673040027431	2.055869930421323	92.78042953920334	-90.1566364239365	56.12553339632389	-65.8135850846972	106.66373326079685	-105.8744303969354	-1.2610387688566609	252.7604680074349	18.0982453062208	17.467992054464894	-0.3857878294418562	17.85377988390675	8.2897277777611	29.174380191286257	1.1193494792229175	4	improved
27	G011.1189-00.5784	18	12	13.06	-	19	35	23.9	T		N		6.3	60	8.89	8.8	0.07	I	5.221111025689693	0.5295376715419633	88.06481610491706	28.064816104917057	4.711937598000374	0.6888912882010265	10.763910644279612	2.4177395286013548	7.756731983954456	1.2414194241692058	93.81043303255547	-89.71059474335357	77.67311787238484	-40.06117289388102	123.10950824703062	-135.62388053071123	0.0	141.0	7.345540544623948	13.927881387166556	0.8704542445804346	13.057427142586121	6.15845886469204	6.758628434688018	0.1298693198762666	2	
28	G011.6548+00.4943	18	9	20.03	-	18	36	11.5	T		N		13.4	125	9.17	8.57	0.54	I	13.840448610592295	0.14267769663515395	131.26340516403212	6.263405164032122	63.64283302464173	0.4127631604817442	25.11199642776455	1.7431713016595434	28.49439337998034	2.120895336880541	95.61639229637487	-73.36058539180124	62.07897489754788	-34.17777174989858	122.09523006254835	-101.22399492165428	12.623109314767328	185.21712133294798	11.232050888166771	18.513187924494623	-6.551971444016779	25.065159368511402	14.236324462558066	25.337901913884764	0.4998216987323085	5	
29	G011.9160+00.7043	18	9	5.53	-	18	16	22.7	T		Y		9.2	85	11.88	11.21	0.6	I	8.160322180415225	0.16179259108277133	88.2411406467497	3.241140646749699	13.599115296190634	0.6360680834361359	12.619253829072989	1.6260991243699041	13.649319767932568	1.2434077901036367	94.25195452709269	-98.38099393898676	34.02934349810829	-76.50076734500756	176.0366939163826	-169.4684850031751	-13.649070390201164	143.65623977403877	21.629144630219315	20.79905354765362	-1.7773753298557669	22.57642887750939	4.75839527024509	56.524278624130936	1.7749339471410062	3	
30	G011.9346+00.7785	18	8	51.41	-	18	13	14.8	T		N		4.7	175	12.16	10.39	1.61	FH																										1	
31	G012.0200+00.8194	18	8	52.82	-	18	7	34.5	T		N		23.4	270	9.56	8.46	1.0	I	23.4090060389032	0.06339226470712767	264.6683076634056	-5.331692336594415	42.37084338491483	0.5118137368817911	70.3879563798058	0.0	41.43819059089764	1.9514353190709506	70.07134458404994	-67.3949574419675	36.72057476250234	-35.75118515599746	76.47268783277866	-128.98442375403795	-1.3487052023237551	111.99921310477824	40.09049948413827	35.327113684329134	-2.265959418703382	37.59307310303251	25.623153180151487	7.748207916973022	0.35758267673662536	4	much improved
32	G012.3407-00.3949	18	14	0.85	-	18	25	47.3	T		N	C	7.1	20	10.05	9.72	0.29	I	7.622380481219079	0.7446382690919015	14.106046360484248	-5.893953639515752	24.67645807809221	1.255527537844896	20.817371592640292	0.2410434310811702	13.323341342631256	0.8775554145137676	68.46997089300966	-84.74512927082259	23.45996129594686	-45.88520217270019	103.74367537993999	-122.63281022678376	-9.512638122544448	135.97239882150896	16.607759759077684	15.018116259908576	0.15219507380590258	14.865921186102673	7.5483000941707035	51.22323254392427	0.6463558907649415	3	much improved
33	G012.3661-00.1518	18	13	9.96	-	18	17	27.9	T		Y	C	13.1	55	12.34	9.88	2.25	I	12.659594864183573	0.2774577979136321	65.72801368572702	10.72801368572702	29.418883063329094	0.6372970662977214	20.808253448571943	1.6350482156076114	21.69329231862969	0.29805866195106323	80.71224331073114	-79.84781266223928	53.067713488873636	-52.94537578577159	176.52742551435398	-118.57661954400004	1.2657673319110805	108.04461760095973	27.250801390620527	1.6749492713133982	-11.848676124886602	13.5236253962	14.385748685031379	26.326818596128383	0.577597631717702	4	
34	G012.6748+00.6519	18	10	49.61	-	17	38	2.5	T		N	C	4.1	335	9.83	9.12	0.64	FH																										2	Rc too big
35	G012.6765+00.6898	18	10	41.45	-	17	36	51.3	T		N		10.7	20	10.03	9.61	0.37	FH	11.473441511981186	0.09807293662648231	39.70395837368815	19.703958373688153	18.067606461948895	0.41877427219910235	15.50502757803892	0.724286170086581	18.535087795327023	0.6948964155860077	85.33077779959883	-77.75508862059598	51.579557986427645	-52.93930794997988	124.09965357085787	-142.06207247594452	0.0	141.0	12.103418765625399	13.586603495321135	-5.412965048585409	18.999568543906545	11.153563065321276	44.184225422415516	0.6934114819944216	4	improved
36	G012.8263-00.1278	18	14	0.28	-	17	52	32.1	T		Y		7.5	355	10.46	9.63	0.75	I	8.670419892311825	0.29694410590017806	3.6726985111051706	8.672698511105182	17.623548791015452	0.6624136909557039	11.05780607629927	1.6997216024732213	15.324869973134922	2.9826041530846723	69.82357261442246	-90.47777834981014	69.82357261442246	-38.935970239815106	109.38851895373386	-121.93752099335288	1.3742891653335851	211.9048095884255	13.355041984193113	12.479077918245718	-3.881155981989748	16.360233900235464	7.460388182214612	290.9967289727103	1.3820857018733785	4	
37	G013.0398-00.2281	18	14	48.21	-	17	44	9.6	T		N	C	5.8	95	10.63	10.0	0.57	I	6.84327716318249	0.624981904937891	158.05660627226362	63.05660627226362	6.6426224845705155	0.8203568801852328	9.070660371517361	2.4644446336490105	11.293803186419943	1.3175420364851036	111.54444033948653	-105.15004721149728	77.82505720944988	-61.7668315999784	159.37039991450126	-177.7594088757698	3.9620484895310737	221.66603576180125	12.312110336391536	21.331000551554265	1.8090418114386235	19.521958740115643	6.509274977258476	18.450798114325575	0.2310766326231607	3	
38	G013.2387+00.2138	18	13	34.47	-	17	21	0.0	T		N		5.1	255	12.7	10.59	1.92	I	6.561216830465056	1.10984414086748	218.1947506366168	-36.80524936338321	7.450616063615517	0.8911066894006303	11.336636914554488	1.4549618747567632	7.766468164078815	0.5525719511873757	73.99797178388451	-71.91387387724873	2.7131039456692747	-34.43529028522883	95.6069799616331	-71.91387387724873	-3.455494860050865	136.13097096814494	6.849963821303006	10.603040406344462	-2.4836113553859906	13.086651761730453	5.400373631604837	21.177649120370653	0.3461493246620619	3	improved
39	G013.4900+01.6618	18	8	46.51	-	16	25	56.9	T		12		73.0	260	7.8	6.94	0.78	I																										0	
40	G013.5120+00.2378	18	14	2.03	-	17	5	54.8	T		N		7.5	185	10.38	9.46	0.83	I																										2	Rc too big
41	G013.6983-00.1619	18	15	52.56	-	17	7	32.2	T		N	C	3.7	115	16.6	12.48	3.77	I	5.1994947586436995	1.7982025857969561	119.52766656428147	4.527666564281475	54.41373416887688	1.2110100775363821	10.276063818409034	0.604001418071893	9.553622412883051	0.6155657766839158	nan	-99.23269996964194	14.315398913579742	-47.33437720171756	nan	nan	0.0	141.0	12.360369904661667	13.724485737977023	2.2340484790603803	11.490437258916643	5.87613649885401	23.996611763519223	0.34727605471320283	3	improved
42	G013.7085-00.2417	18	16	11.41	-	17	9	16.7	T		N	C	4.4	110		12.93	-99.0	I																										1	
43	G013.7925-00.2591	18	16	25.29	-	17	5	20.5	T		N		6.8	75	9.15	8.87	0.24	I	6.5809015069825865	0.44595216961911444	82.23480911517642	7.234809115176418	72.16795217789102	0.6604162675160842	15.55993241554971	0.0	14.08696906872957	0.9659884058402451	98.5344208160831	-88.45692343403852	62.27081496822862	-52.70930798001494	173.446298908513	-159.56687307302343	11.777185699575721	162.43447751092359	5.518585512437045	10.60215608082775	-1.7508030789693567	12.352959159797107	6.713816607916169	17.52503239328299	0.16419308942632937	3	improved
44	G014.3151+00.1319	18	16	1.43	-	16	26	36.0	T		N		20.1	110	10.43	7.57	2.61	I	19.224909893387025	0.09330965375048805	103.39250830887677	-6.607491691123229	241.58523996078802	0.35883779543879935	nan	nan	nan	nan	53.70618585507182	-67.1077986633569	29.74597436448329	-31.284430520027172	72.11839676203704	-135.18634200545358	-48.080612658427555	298.8931262211716	16.68267225980371	15.38672285340146	-9.272381938060011	24.659104791461473	21.020636718421883	199.4299527315636	2.2596700355390693	4	But doesn't reach 90
45	G014.3196-00.1376	18	17	1.31	-	16	34	3.2	T		Y	C	4.3	245	10.38	9.78	0.54	I																										2	improved
46	G014.4703-00.6427	18	19	10.6	-	16	40	27.0	T		Y		14.7	210	9.58	8.26	1.2	I	15.801929984885115	1.2709866125005806	205.76900649649127	-4.230993503508728	99.52956603179669	1.5374560584485444	26.45773839700979	2.600750794508682	29.653921617855172	2.7563247460789015	78.48973391942997	-87.57737202189821	60.178214470416435	-44.28263566735447	92.95555804066953	-120.02775028562334	-8.788676030949164	191.71527520818267	25.415911353185297	23.81502732374252	-2.5870374808832217	26.402064804625745	17.139517097861518	260.02259802678384	1.8634800853311722	4	
47	G014.5184+00.2255	18	16	5.05	-	16	13	11.9	T		N		9.9	10	9.85	8.8	0.95	I	11.659960701767742	0.6453657495157571	91.75513094684597	81.75513094684597	12.367134110790913	0.5011026660256371	11.318255473021136	1.0757131863855434	19.506544913438937	1.0919320843568492	92.59474608295845	-70.60662039812058	30.87183253360051	-31.90146144466297	100.76855204803884	-126.77335042754112	9.260446011344504	118.77248929449162	12.497574282255709	11.067529433345257	-6.186544350731584	17.25407378407684	11.187675840434213	14.234044206233804	0.2451373996037456	4	improved
48	G014.6202+00.8992	18	13	49.35	-	15	48	32.5	T		N	C	6.7	100	8.01	8.0	0.0	I	8.389811055132558	0.5632250539620998	83.68916587459708	-16.31083412540292	33.74323992561041	1.0595215755772205	18.27648114710702	1.2847517862956022	11.293948157230862	0.7771709011348057	99.81343592358544	-106.50915056661	60.34566326791142	-82.24258470710231	nan	nan	0.0	141.0	28.821922146520237	28.454177642970482	4.300719043096379	24.153458599874103	6.015221136473229	10.582488923315164	0.5468629695113169	4	
49	G014.6528-00.3700	18	18	32.06	-	16	23	3.8	T		N		6.1	230	10.93	9.59	1.22	I	7.034553829034728	0.8232946438908172	218.4676692751368	-11.532330724863186	50.86354051755247	0.7078635655887823	16.707363440779837	0.9625345909512883	8.451757860125301	1.0166266971449471	75.92920698850708	-35.34479919471951	46.613683166462806	-35.34479919471951	135.40720131897933	nan	0.0	141.0	10.732227407920131	17.408420198212212	1.497600429573131	15.910819768639081	6.978421047992802	94.8674775907782	0.5329310899065122	3	
50	G014.6719-00.4770	18	18	57.91	-	16	25	5.5	T		Y		7.2	120	9.47	8.76	0.64	H	7.450849428441597	1.4614030961341857	140.2191276335246	20.219127633524607	12.30410677400156	1.0594128725092054	15.299329236677115	1.911652491183554	10.340983940708904	1.3855564826995634	95.53490175510316	-80.76676119537541	74.11953318966528	-9.971477470844874	122.9379835408979	-138.19107827786962	21.328660185396792	111.92660454759032	15.85135977468617	16.241945649603398	-0.6837144567596809	16.92566010636308	6.085209509020624	319.30621659436514	2.0772884037359565	3	improved
51	G015.0749-00.6461	18	20	22.75	-	16	8	34.2	P08-S1		-		2.5	140	9.2	8.56	0.58	FH	5.97148458779383	0.9978288719702401	143.8179881387569	3.8179881387569026	50.28302503971305	1.143128351542171	6.479838337779658	0.6750531798385171	6.7059416249694666	0.494911166577979	nan	nan	nan	nan	nan	nan	0.0	141.0	7.01649439065775	47.11984960532015	11.651765367728048	35.4680842375921	5.97148458779383	nan	nan	1	Bad image
52	G015.0812-00.6570	18	20	25.91	-	16	8	32.4	P08-S2		-		14.5	135	8.2	7.5	0.63	FH	42.93467896408195	0.34124482678946577	45.496526563182265	-89.50347343681773	42.85222430395056	0.3859135929279384	40.81167244984911	0.28577651193429354	43.29945027586488	0.44940831610138093	163.8974926679948	-121.7017083822183	163.8974926679948	-121.7017083822183	163.8974926679948	-121.7017083822183	0.0	141.0	50.44824778279629	249.87600590460076	39.71872913214775	210.157276772453	42.93467896408195	nan	nan	0	Bad image
53	G015.1032-00.6489	18	20	26.71	-	16	7	9.1	P08-S3		-		6.07	150	9.29	8.18	1.01	FH	17.63545451898042	0.4528486800149975	177.93568477670962	27.93568477670962	18.18407047044168	0.550517803746057	14.806947757016758	1.1363033186694886	17.48572654613015	0.47898719446813187	nan	nan	nan	nan	nan	nan	0.0	141.0	20.721659059801993	139.78685756614328	34.57701165674203	105.20984590940127	17.63545451898042	nan	nan	0	Bad image
54	G015.0813-00.6570	18	5	58.84	-	14	11	53.0	Pe12	HD165319	-	C	95.0	260	6.45	6.06	0.35	I																										0	Missing
55	G015.2253+00.3578	18	16	59.88	-	15	32	6.8	T		N	C	18.0	260	11.58	10.47	1.01	I	18.156160616474953	0.26468289131226186	266.2934219607927	6.2934219607927275	24.241252182361798	0.4365992815780974	43.70784755729138	0.0	25.656010934336926	0.8949558177983583	61.04481794273204	-98.08361852268476	49.32917973631919	-44.62514364233442	123.28410654085747	-123.00406544627205	4.6397540047854315	151.19781611483285	11.152915845382577	14.660190001075346	-12.240887118384048	26.901077119459394	18.75363833201962	8.426709691265279	0.2652271210733781	4	STAR
56	G015.2977+00.3178	18	17	17.22	-	15	29	25.8	T		N	C	28.0	20	8.95	8.58	0.33	I	36.672217733936485	7.783895983648348	290.1313316577137	-89.8686683422863	31.387980372897008	4.226878105885049	66.92900894696821	5.179715826572237	42.44173917926002	19.4925215438634	50.391348219133334	-90.59593240522287	24.189514870018407	-82.52933988573659	103.10953723156514	-99.63019254949273	-18.20710499711199	223.34012056600318	30.375872110332036	31.792482099915265	-24.709882518516466	56.50236461843173	32.29292258161567	12.64454789359292	0.4284532628446822	4	STAR
57	G015.3315-00.3692	18	19	52.02	-	15	47	9.4	T		Y		5.3	115	10.64	9.79	0.77	FH	4.915990827076205	1.2795605969021133	134.92965914435052	19.929659144350524	28.724059857415163	0.9091487590304861	7.711093096826185	1.6431030922518017	14.246143265493822	0.5783467280436615	88.08581120853384	-65.91381082360718	42.12986143281768	-40.4812082486838	146.44295761197912	-106.91954745350135	13.820219110994984	159.80374075469345	7.707356717690583	11.301605448699227	1.34113252329559	9.960472925403636	5.610194411785372	88.02396271932616	0.4998092364506913	3	improved
