Seq	Name	RAh	RAm	RAs	DE-	DEd	DEm	DEs	Ref	Alias	8um	Unc	R0	PA	Hmag	4.5mag	Ak	Env	R0_fit	R0_sigma	pa_circ	delta_pa	Rc	Rc_sigma	R90p	R90p_sigma	R90n	R90n_sigma	th_p	th_m	th_p_841	th_m_841	th_p_210	th_m_210	th_g	dth_g	H_g	H_d	R0_g	Peak24	Contrast	Rating	Comment
148	G030.3745+00.0252	18	46	40.09	-	2	15	51.9	T		N	C	10.0	90		11.84	-99.0	FB	20.508205499798805	0.7100294657598828	168.35432596198575	78.35432596198575	22.151234187447724	1.1452245240946557	13.445280583683857	1.2443705582261202	15.595671707055667	1.2935466876866986	50.11549990655766	-45.39728814252232	11.980671303179932	-24.185092910728883	135.06925537833897	-61.1243599610722	-3.1308361379191307	66.83075264682832	16.52760615207098	12.832401475106588	20.559841437008277	171.85346786814102	1.4630008025662165	3	wrong star?
149	G030.4620+00.3924	18	45	32.0	-	2	1	8.2	T		N		19.4	265	8.91	8.73	0.15	I	19.407903315784065	1.1898583788544594	267.26742613894845	2.2674261389484514	87.9409043995268	2.1465392748482417	51.908097887111765	6.037933840937737	47.85013546160147	4.414589643339759	61.08012689436168	-50.10242493895822	37.93594930792085	-30.135738341940424	73.68411959838835	-88.82110621275936	-0.4648734458831673	117.34174906709416	29.4663093320897	19.19861183671955	19.435164397152274	100.53112153658746	1.6078937961967978	4	improved
150	G030.6077-00.6233	18	49	25.01	-	2	21	9.7	T		Y		11.5	160	6.8	6.44	0.32	I	16.200314172284994	2.6824078676715994	181.32600833232354	21.32600833232354	17.573409806989442	2.042125696668003	20.383897959501688	1.678059312207821	20.484824797899496	1.3097876897493217	105.89757748011539	-95.55042439746138	55.68528830958894	-55.144444211178325	126.59785428096961	-142.00715998884198	2.037171957591996	182.6108978354719	29.62377586731271	25.580846938839343	15.961594891937763	136.38941636374247	0.8589587562624184	3	
151	G030.8694-00.1031	18	48	2.05	-	1	52	57.2	T		N		6.3	325	13.18	7.42	5.28	I	7.592606611225885	2.9414963994675545	324.01850577020184	-0.9814942297981588	4.988750630437349	2.098538972128559	13.000850866878915	3.650027927369037	9.281407360478152	2.8612446322647203	108.17791415433197	-111.56913510290318	92.94699255616723	-56.658554113723994	nan	nan	0.0	141.0	18.731601674768214	0.5841111618041408	-15.188651683856918	-192.98833219032517	-0.530415047490165	1	irregular
152	G030.9508-00.0459	18	47	59.02	-	1	47	2.5	T		Y		3.9	35	12.23	10.32	1.74	I	6.735319302150929	2.2762918388140734	22.782174296832316	-12.217825703167684	11.671777419412122	1.3127296114316291	8.83883470693764	1.4572528580134818	8.568607619866357	1.1254859977433622	74.82766764166912	-6.3307308124952755	54.306307509747114	-6.3307308124952755	115.1237916895627	-103.72946978896044	0.0	141.0	9.261886654957546	8.838431959414589	5.613473295358878	238.09799016299698	1.7166458619786236	3	improved
153	G031.0836-00.2126	18	48	49.04	-	1	44	30.8	T		N		9.7	300	12.2	10.4	1.64	I	8.515960663600262	3.3601045447938676	316.80834940148975	16.80834940148975	6.369144228173011	1.9279637459116408	14.951355701900193	2.4894762199410017	15.47663126558506	7.695241237310211	100.90843934043994	-87.3211245335917	91.49977033329975	-10.364441661313492	110.38601419707459	-133.40821982066944	0.6320305870537953	1100.7625735777335	17.588706609340093	17.540122174123248	5.6169466471079454	9.28533722892261	0.15074220138202304	2	irregular
154	G031.1096+03.6457	18	35	8.21	+	0	2	34.8	V88	HD171491	-		16.4	330	6.27	6.0	0.24	I																								0	Missing
155	G031.4566+00.3937	18	47	20.71	-	1	8	0.2	T		N		6.7	300	12.77	11.2	1.43	I	9.120467839523988	1.4654502447972093	222.48770057798578	-77.51229942201422	9.20952574842059	1.2295213171770039	13.652762127030892	1.712237510657067	9.41202672608827	1.5599250381782126	93.35179352747195	-59.47493294561983	45.191995865379624	-29.783119005175593	123.64378522418025	-130.80715008974877	11.096535979224122	138.50061550040442	16.88681324198748	16.229258520214408	8.561363569697512	32.798505096351754	0.7207754796118019	3	improved
156	G031.4842+00.4546	18	47	10.74	+	1	4	51.7	T		N		8.5	40	11.71	10.44	1.15	I																								0	Missing
157	G031.5390-00.1113	18	49	17.61	-	1	17	25.5	T		N		4.5	315	13.31	11.9	1.28	FB	5.673943655801719	1.3294072169065447	309.17376580063336	-5.826234199366638	8.43610076761401	1.3739291926200587	7.906335133717627	1.4281782156758351	7.715588490784681	1.547087589041702	107.06047094653434	-101.4045245058841	60.35614536429847	-28.370937524850206	nan	nan	0.0	141.0	10.439287444810375	18.572345862322507	4.374523123144945	58.35991879229694	0.4995180984305165	2	Rc too large
158	G031.6662-00.1285	18	49	35.21	-	1	11	6.2	T		N		8.4	250	10.64	9.29	1.23	I	9.83772493950874	1.1429068452328395	245.25855559909255	-4.741444400907454	20.269333971504665	1.1666256409231146	18.63274102976749	1.7468424297961154	17.871727711121274	2.9321323988663104	69.48738737295764	-83.40426146866008	39.3953130145573	-53.65749567417072	89.22751793641868	-107.94690331367391	-7.0511786828590335	122.9909022149425	16.562747395544303	17.66405161532807	9.754530027387936	28.067585784368934	0.5660976950310833	4	
