Seq	Name	RAh	RAm	RAs	DE-	DEd	DEm	DEs	Ref	Alias	8um	Unc	R0	PA	Hmag	4.5mag	Ak	Env	R0_fit	R0_sigma	pa_circ	delta_pa	Rc	Rc_sigma	R90p	R90p_sigma	R90n	R90n_sigma	th_p	th_m	th_p_841	th_m_841	th_p_210	th_m_210	th_g	dth_g	H_g	H_d	H_d_out	H_d_in	R0_g	Peak24	Contrast	Rating	Comment
214	G039.2486-00.0647	19	3	13.07	+	5	35	23.0	T		Y		4.4	55	15.2	11.99	2.93	FB	9.775085049311752	0.8442455260455783	115.25301266760016	60.25301266760016	8.96822326922832	0.8980991209443945	11.314955629059453	1.044504649098046	8.16553719978484	1.3735711263496135	nan	-120.27409524841255	79.34495197772787	-39.96914877104539	nan	nan	0.0	141.0	28.094974849988954	28.274895720805752	4.1311042640212285	24.143791456784527	9.533918791094166	690.9341134159256	1.3213275360608598	3	
215	G039.4470-00.0674	19	3	36.02	+	5	45	53.4	T		N	C	11.6	265		11.84	-99.0	I	8.469930329861857	0.06791907994767321	263.95457703781386	-1.0454229621861373	38.499697683793585	0.3229692738293382	20.234814931473853	2.195971221300738	16.77317339959991	1.4370359711946257	107.12999193955702	-115.33726376949059	73.55920614240921	-74.2978526214516	122.28283286814647	-126.18356507524666	-3.292166199352297	1312.9163213552713	31.759652806872356	32.99383486490938	9.36845198266564	23.62538288224374	9.921248769188226	4.994408362526917	0.024776457541976014	4	
216	G039.4551+00.5530	19	1	24.0	+	6	3	22.2	T		N	C	7.7	215	14.01	12.33	1.53	I																										0	missing
217	G039.9449+00.6920	19	1	48.03	+	6	33	18.9	T		N	C	9.3	300	11.51	10.09	1.29	I																										3	
218	G040.1095-00.2757	19	5	34.02	+	6	15	28.4	T		N		6.3	31	10.7	10.12	0.52	I	7.5357449834002335	0.9512528709329447	38.044066958149756	7.044066958149756	25.033757861090947	0.7606975695719804	12.325507313467206	1.4013480460521521	11.60414594271403	2.118228907228929	105.54984014653266	-92.32163740299853	79.8741698921869	-46.49836644438062	nan	nan	0.0	141.0	21.18772034888484	21.697413065917743	2.960481810428277	18.736931255489466	7.116690146299214	3.2212521502473215	0.016549247662136793	3	
219	G040.2891+00.5257	19	3	1.02	+	6	46	40.4	T		Y		3.2	25	11.48	10.88	0.54	I	7.641313236660826	0.6873604185401245	37.629358153794485	12.629358153794485	11.066531934511838	1.019904381850579	8.251826847911678	0.8000447034414251	7.842764098172894	1.1019934645452272	95.37001508637306	-89.35719349958333	48.15840300740591	-16.748627916669644	nan	nan	0.0	141.0	25.842835976958604	0.6658100530463322	-7.339198890401643	8.005008943447976	10.408602645026612	-1.7255329817553013	-0.008767121295469825	1	way too small
220	G040.4658+00.4468	19	3	38.01	+	6	54	21.6	T		N		3.3	350	13.07	12.26	0.73	I	5.142701672830376	1.8021044003659576	5.030288211313673	15.030288211313689	3.282241425725205	1.072944018904315	7.195237253379009	1.7607533499641763	4.895695311414443	2.132525552223663	nan	nan	10.074372074054395	-2.317140981921739	nan	nan	0.0	141.0	16.490111606630634	22.384426108838795	-0.5714406510362959	22.955866759875093	9.555988398476726	0.27726021558382136	0.0015641888488371202	1	way too small
221	G041.0816-00.4178	19	7	52.07	+	7	3	20.9	T		N	C	14.3	125	14.84	12.49	2.14	I	21.59529276394573	1.0881469399547141	163.78334873163044	38.78334873163044	28.098038942027554	1.035552846097132	24.477574399448308	1.3788345221994602	27.719753916178142	0.47956336492568163	130.21120804832495	-112.53563520865913	79.70658077212596	-40.584323809074064	130.21120804832495	-167.52150154140378	24.035256314894514	174.73430063248256	28.56201570740037	44.270394029007306	-5.746462064336228	50.016856093343534	24.070439018788722	5.2762031327659225	0.02701812267703559	3	
222	G041.1120-00.1753	19	7	4.0	+	7	11	39.8	T		Y		4.3	110	12.26	10.3	1.79	FB	7.235166760064625	0.7199572615595163	110.45366078964824	0.4536607896482394	3.197657728492372	1.2549674859220876	8.606628172781658	1.220089085556927	10.702946899311986	1.3691479010457521	nan	nan	78.22609857093556	-106.42201276969438	nan	nan	0.0	141.0	15.388581597572317	30.895927106904022	2.913344508929371	27.982582597974652	6.08621035966487	20.382712707985718	0.052938562008373505	2	too small
223	G041.3677+00.0870	19	6	36.01	+	7	32	31.5	T		N		9.1	230	14.74	12.46	2.08	I	8.109020034724225	0.4367590836735138	226.26487767864478	-3.7351223213552203	13.301411880250647	0.526828879210108	15.814622514663617	1.6557934218047228	14.286597784808407	3.0740096666430947	75.46950486722625	-91.21842330267773	55.33682982045087	-60.368823847821034	136.6785284742252	-157.2198902657783	-10.328076822661917	164.85891237899804	10.51810471560239	21.308073665332948	1.9990961731234265	19.30897749220952	9.28482332343537	0.37106244468632804	0.0018990556024461936	3	
224	G041.5357+00.0349	19	7	5.1	+	7	40	2.2	T		N		4.1	220	11.91	10.55	1.24	FH	11.111598771549735	0.7744962333793061	207.9220176155676	-12.077982384432403	11.907540912809562	0.7901422291175825	6.30826803707227	0.0	10.584616691455055	0.982918626204433	nan	nan	36.316899421828566	-115.68475853961343	nan	nan	0.0	141.0	34.46846898336966	48.59815242394437	15.880883344776729	32.71726907916764	20.312416397718373	41.79772808438497	0.16893046510185847	1	way too small
225	G041.5496+00.0975	19	6	54.01	+	7	42	30.3	T		N	C	6.5	115	14.36	12.26	1.92	FH	8.32308139817258	0.695498874109262	123.32243152883406	8.32243152883406	42.98377118045182	0.7613943089721981	13.184347937041144	1.5101447200115021	17.902630800165646	1.3395846720874884	115.11204524425429	-112.11127015700629	67.78234212473015	-60.43854197745732	nan	nan	0.0	141.0	19.927308220818123	19.686874912612584	-0.09264439691510162	19.779519309527686	6.67063795668914	3.6314566460597533	0.018763986573065314	0	missing
226	G042.0370-00.8777	19	11	18.01	+	7	41	28.6	T		N		6.6	110	10.87	10.06	0.73	I	10.208483051752815	0.47859789777558265	128.73736943724998	18.73736943724998	22.385117371039435	0.9076196616336191	14.489062254055865	1.2506307400070438	15.308511622676269	1.1224304398198772	nan	nan	74.1990615867831	-73.63475245256004	nan	nan	0.0	141.0	29.724479509975104	27.84251727606753	1.3064915474951881	26.53602572857234	8.503125204665322	5.282946144117942	0.029767367870732853	3	
227	G042.1998-00.2268	19	19	9.04	+	8	8	10.4	T		N		9.5	210	15.42	12.14	3.0	I	28.019073306169812	0.401236463313899	242.99363346256644	32.993633462566436	26.51154418699753	0.6277796863200358	nan	nan	nan	nan	49.62389386616138	-13.959473476425103	2.020399335998178	-2.007613042726774	65.06715763185531	-26.940256755507107	18.491162121029713	48.127185574168465	17.812453598444296	22.859302340996447	-7.662454360810898	30.521756701807345	38.2335778361363	2.682934148277944	0.01701162433567268	1	cannot see bow
228	G042.2264-00.0622	19	8	43.1	+	8	14	8.5	T		N		6.5	85	12.97	11.66	1.19	I	18.901995330078563	0.056129038431393496	81.99855642283244	-3.0014435771675636	37.48963114363444	0.8216414368884499	29.47389827923522	1.342058046654611	29.52974076587153	1.5868602309853466	94.16627658014656	-83.5637470499452	57.921530303611235	-44.29572014668943	117.94005320591876	-122.51377932501094	2.9138057464366316	175.21193623859295	33.245205130795085	34.48469518970114	-3.681676611514874	38.166371801216016	18.37052619571533	26.796900027164554	0.13724397907633182	4	
229	G042.5217-00.0850	19	9	21.09	+	8	29	14.0	T		N		10.0	245	12.49	11.15	1.22	I																										0	missing
230	G042.5231+00.4272	19	7	31.01	+	8	43	28.1	T		N		19.5	250	11.24	10.19	0.95	I	10.539009751919622	0.4029138306717366	272.00344791110615	22.00344791110615	32.705799306400756	0.48347256614526746	22.218283709296195	2.5289943185057617	33.88953258995389	3.798756506271378	115.83611192111863	-101.1798877823459	86.0377305767799	-86.30938133141842	125.48732049611135	-119.13668710635369	3.2734799299907045	1738.9166367008079	31.036926884964522	35.2430571501268	6.387914662626645	28.85514248750016	7.991982734992939	1.5136972102434472	0.008776884233262637	3	peak only
231	G043.7709+00.0659	19	11	9.06	+	9	39	53.8	T		Y	C	9.0	265	12.96	11.65	1.19	FB	6.729551597708456	1.4348415176530516	268.934451052411	3.9344510524110206	2.697298202347391	0.9309285504803851	7.009383688127667	1.656044110148206	7.330990082445873	1.2303897456047144	141.24482853019086	-154.21024320797602	123.03336020799946	-120.58672382499819	141.24482853019086	-154.21024320797602	2.9349277659328687	2193.6475518473185	12.775835351570336	24.77623303154313	-1.3332272689056222	26.109460300448752	0.9453255088382888	5.7883995705847635	0.02149734719529417	2	too small
232	G044.0940-00.0241	19	12	5.4	+	9	54	35.1	T		N	C	9.7	285	11.37	10.44	0.84	I	7.490278114171552	0.166313639593469	293.7312067439217	8.731206743921689	147.03491661311867	1.0625506244287208	12.011722451949113	1.0048511336844255	21.482052467758994	2.1750157158312375	113.44547097748912	-104.54797766252807	65.31740634895681	-72.65422820630346	120.92596209120742	-142.71173311846522	0.23621615338501945	182.45414337975615	30.40041757722027	31.000925001133698	9.666447999232112	21.334477001901586	9.114000020484216	14.730884062138855	0.07688855825019415	3	
233	G044.1658+00.0926	19	11	48.03	+	10	1	38.6	T		N		8.9	35	12.15	9.68	2.26	FH	10.769914198555812	0.4333348512352896	352.5510006295867	-42.448999370413276	12.524372564251825	0.6609702715489233	18.15208262486253	1.5238739382162394	12.771340741326382	1.8741820781159675	129.24301610161876	-126.02786843122198	82.4955659633194	-50.29210062089123	129.24301610161876	-166.00859313444317	13.857521305855935	166.55106610652874	33.16187320856749	33.568549358078236	4.589597252088499	28.97895210598974	10.075500121101792	12.632521767267113	0.06385144949221042	3	
234	G044.1790+00.1705	19	11	32.1	+	10	4	30.5	T		N		3.2	335	13.02	11.11	1.74	I																										0	missing
235	G044.3027+00.2988	19	11	19.02	+	10	14	38.9	T		N		4.2	130	14.12	12.29	1.67	I	7.090833101123777	1.1950900418881352	130.74495924473482	0.7449592447348152	4.652658684426814	1.3564760908796247	8.852624872756387	2.5336550707685217	10.104990716580838	0.7499248136133136	nan	-126.6664332386915	84.06982154361006	-53.117826939117705	nan	nan	0.0	141.0	13.91930017145768	24.469265015783453	2.3876309302383456	22.081634085545108	7.036107276140965	2.1784146024500974	0.011998616022707683	2	too small
236	G044.4100-00.3132	19	13	43.05	+	10	3	20.7	T		N		15.1	340	11.82	10.65	1.06	I	11.546558090532605	0.4258534847950699	331.4516638381157	-8.548336161884322	35.00880380097315	0.7935631626779299	38.149681589629296	2.6704420513822993	22.973818634866312	1.4761485609394345	122.31784435786437	-106.13637053661529	93.02763573170097	-53.406726272017465	122.31784435786437	-152.50848056881316	15.399472438776305	225.7635876422011	34.45037087045509	34.77277347926406	7.1539959883723245	27.61877749089173	12.665039028606694	32.673808440440716	0.15927208275276075	3	
