Seq	Rating	Comment
547	1	Rc too small
548	4	
549	3	improved, smallish
550	0	Fit failed
551	1	Rc too small
552	1	Rc too small
553	1	Rc too small
554	3	
555	2	Rc too large
556	3	Double source
557	3	
558	3	Asymmetric
559	3	
560	3	
561	1	tiny
562	4	
563	4	
564	1	Tiny
565	4	
566	4	
567	2	Tiny
568	3	
569	4	
570	1	Fit failed
571	3	
572	5	
573	3	improved
574	3	improved
575	0	Missing
576	4	improved, STARS
577	3	improved
578	3	
579	0	Fit failed
580	3	asymmetrical
581	0	Missing
582	3	improved
583	3	improved
584	4	
585	3	smallish
586	4	
587	5	improved, triangle shape
588	2	tiny
589	4	
590	2	tiny
591	3	
592	2	tiny
593	3	
594	2	Rc a bit too large
595	5	
596	4	
597	3	
598	5	
599	3	improved
600	1	tiny
601	2	tiny
602	2	Tiny
603	4	
604	3	improved, In filament, STARS
605	3	
606	3	
607	2	Rc a bit too big
608	3	Tiny
609	1	Tiny
610	4	Very large Rc/R0
611	3	
612	3	improved, asymmetric, double shell
613	4	
614	2	Tiny
615	3	improved
616	3	
617	3	improved
618	4	
619	0	Fit failed
620	4	
621	3	
622	1	Tiny
623	3	improved
624	4	
625	2	Rc a bit too small
626	4	
627	3	improved, STARS
628	0	Missing
629	2	Tiny
630	4	STARS
631	3	improved
632	4	improved, asymmetric, double shell
633	4	
634	5	double shell
635	5	
636	4	
637	3	
638	3	improved, smallish
639	3	improved, smallish
640	3	improved, smallish
641	3	improved
642	4	
643	3	smallish
644	3	smallish
645	0	missing
646	1	Tiny
647	3	
648	3	
649	0	Fit failed
650	5	improved, star maybe wrong
651	3	improved
652	1	Tiny
653	0	Fit failed
654	2	Tiny
655	2	Tiny
656	2	STARS
657	3	
658	3	improved
659	4	
660	3	improved, STARS
661	1	Tiny
662	0	Missing
663	3	improved
664	0	Fit failed
665	2	asymmetric
666	3	improved
667	4	
668	2	Rc a bit too small
669	3	improved, smallish
670	3	improved, smallish
671	3	improved, smallish
672	3	
673	3	improved, smallish
674	3	improved, smallish
675	5	axial bulge
676	5	improved, asymmetric, double shell
677	5	asymmetric
678	0	Fit failed
679	0	Missing
680	4	
681	0	Missing
682	0	Missing
683	3	improved
684	3	
685	4	
686	3	smallish
687	3	improved, smallish
688	5	
689	3	smallish
690	1	Mess
691	2	asymmetric
692	5	corners
693	0	
694	3	improved, smallish
695	4	improved
696	4	
697	4	R90+ unreliable
698	3	
699	3	
700	2	STARS
701	1	Tiny
702	3	smallish
703	3	
704	2	Rc a bit too small
705	5	Asymmetric
706	3	smallish
707	5	STARS
708	3	improved, smallish
709	4	
